id,name,title,company,seniority_tier,industry_vertical,icp_score,source,linkedin_url,email,company_size,funding_stage,persona_summary,context_hook,personalization_themes,confidence_flag,assigned_to,outreach_status,in_sequence
1,Dr. Sreedhara Panicker Somanath,Chairman,Indian Space Research Organisation (ISRO),C-Suite,DeepTech/AI,4,scraped,,,,,,,,,,pending,False
2,Shri Amitabh Kant,G20 Sherpa,Government of India,VP/Director,Government,2,scraped,,,,,,,,,,pending,False
3,Ronnie Screwvala,Co-founder,upGrad & Swades Foundation,C-Suite,Edtech,4,scraped,,,,,,,,,,pending,False
4,Bhavish Aggarwal,Founder,Ola,C-Suite,Mobility,4,scraped,,,,,,,,,,pending,False
5,Dr. Rohini Srivathsa,CTO,Microsoft India and South Asia,C-Suite,DeepTech/AI,4,scraped,,,,,,,,,,pending,False
6,Anil Agrawal,Member,Competition Commission of India,Manager/IC,Government,1,scraped,,,,,,,,,,pending,False
7,Mabel Chacko,Co-founder & COO,Open Financial Technologies,C-Suite,Fintech,5,scraped,,,,,,,,,,pending,False
8,Ashutosh Sharma,"Head of Growth Investments, India & Asia",Prosus Ventures,VP/Director,VC/PE,3,scraped,,,,,,,,,,pending,False
9,Mukul Arora,Co-Managing Partner,Elevation Capital,VP/Director,VC/PE,3,scraped,,,,,,,,,,pending,False
10,Nithin Kamath,Founder & CEO,Zerodha & Rainmatter,C-Suite,Fintech,5,scraped,,,,,,,,,,pending,False
11,Naveen Tewari,Founder & CEO,InMobi Group,C-Suite,SaaS/B2B,5,scraped,,,,,,,,,,pending,False
12,Rahul Chari,Founder & CTO,PhonePe,C-Suite,Fintech,5,scraped,,,,,,,,,,pending,False
13,Lalit Keshre,Co-founder & CEO,Groww,C-Suite,Fintech,5,scraped,,,,,,,,,,pending,False
14,Kunal Bahl,Co-founder,Snapdeal & Titan Capital,C-Suite,D2C/Ecomm,5,scraped,,,,,,,,,,pending,False
15,Vishal Dhupar,"Managing Director, Asia South",NVIDIA,C-Suite,DeepTech/AI,4,scraped,,,,,,,,,,pending,False
16,Ananth Narayanan,Founder & CEO,Mensa Brands,C-Suite,D2C/Ecomm,5,scraped,,,,,,,,,,pending,False
17,Shashank Kumar,Managing Director and Co-founder,Razorpay,C-Suite,Fintech,5,scraped,,,,,,,,,,pending,False
18,Siddarth Pai,"Founding Partner, CFO & ESG Officer",3one4 Capital,C-Suite,VC/PE,4,scraped,,,,,,,,,,pending,False
19,Sharad Sanghi,Founder,Neysa,C-Suite,DeepTech/AI,4,scraped,,,,,,,,,,pending,False
20,Subbu Iyer,CEO,Giggr Technologies,C-Suite,SaaS/B2B,5,scraped,,,,,,,,,,pending,False
21,Arjun Mehta,Founder & CEO,FinStack Labs,C-Suite,Fintech,5,mock,,,,,,,,,,pending,False
22,Priya Krishnamurthy,Co-founder & COO,LendGrid,C-Suite,Fintech,5,mock,,,,,,,,,,pending,False
23,Saurabh Bhatia,Chief Product Officer,InsuranceFirst,C-Suite,Fintech,5,mock,,,,,,,,,,pending,False
24,Deepika Nair,Founder,WealthBridge,C-Suite,Fintech,5,mock,,,,,,,,,,pending,False
25,Karan Malhotra,CEO,PayFlow India,C-Suite,Fintech,5,mock,,,,,,,,,,pending,False
26,Ananya Sharma,Co-founder & CTO,CreditSense,C-Suite,Fintech,5,mock,,,,,,,,,,pending,False
27,Vikram Sinha,MD & CEO,LoanTap,C-Suite,Fintech,5,mock,,,,,,,,,,pending,False
28,Ritika Gupta,Founder & CEO,Finova Capital,C-Suite,Fintech,5,mock,,,,,,,,,,pending,False
29,Aditya Bansal,Chief Revenue Officer,RazorX,C-Suite,Fintech,5,mock,,,,,,,,,,pending,False
30,Sneha Reddy,Co-founder,NeoBank One,C-Suite,Fintech,5,mock,,,,,,,,,,pending,False
31,Nikhil Anand,VP of Sales,SaaSify,VP/Director,SaaS/B2B,4,mock,,,,,,,,,,pending,False
32,Meghna Patel,Head of Growth,Chargebee,VP/Director,SaaS/B2B,4,mock,,,,,,,,,,pending,False
33,Rohit Verma,Founder & CEO,Stackr.io,C-Suite,SaaS/B2B,5,mock,,,,,,,,,,pending,False
