id,name,title,company,seniority_tier,industry_vertical,icp_score,source,linkedin_url,email,company_size,funding_stage,persona_summary,context_hook,personalization_themes,confidence_flag,assigned_to,outreach_status,in_sequence,validation_notes,variant,li_connect_msg,during_event_dm,email_subject,email_body,li_ready,email_ready,li_skip_reason,email_skip_reason
7,Mabel Chacko,Co-founder & COO,Open Financial Technologies,C-Suite,Fintech,5,scraped,,,,,,,,LOW,,pending,False,PARSE_ERROR: Empty response from LLM,A,,,,,NO,NO,low_confidence_persona,low_confidence_persona
20,Subbu Iyer,CEO,Giggr Technologies,C-Suite,SaaS/B2B,5,scraped,,,,,,,,LOW,,pending,False,PARSE_ERROR: Empty response from LLM,A,,,,,NO,NO,low_confidence_persona,low_confidence_persona
14,Kunal Bahl,Co-founder,Snapdeal & Titan Capital,C-Suite,D2C/Ecomm,5,scraped,,,,,,,,LOW,,pending,False,PARSE_ERROR: Empty response from LLM,A,,,,,NO,NO,low_confidence_persona,low_confidence_persona
16,Ananth Narayanan,Founder & CEO,Mensa Brands,C-Suite,D2C/Ecomm,5,scraped,,,,,,,,LOW,,pending,False,PARSE_ERROR: Empty response from LLM,A,,,,,NO,NO,low_confidence_persona,low_confidence_persona
13,Lalit Keshre,Co-founder & CEO,Groww,C-Suite,Fintech,5,scraped,,,,,,,,LOW,,pending,False,PARSE_ERROR: Empty response from LLM,A,,,,,NO,NO,low_confidence_persona,low_confidence_persona
12,Rahul Chari,Founder & CTO,PhonePe,C-Suite,Fintech,5,scraped,,,,,,,,LOW,,pending,False,PARSE_ERROR: Empty response from LLM,A,,,,,NO,NO,low_confidence_persona,low_confidence_persona
11,Naveen Tewari,Founder & CEO,InMobi Group,C-Suite,SaaS/B2B,5,scraped,,,,,,,,LOW,,pending,False,PARSE_ERROR: Empty response from LLM,A,,,,,NO,NO,low_confidence_persona,low_confidence_persona
10,Nithin Kamath,Founder & CEO,Zerodha & Rainmatter,C-Suite,Fintech,5,scraped,,,,,,,,LOW,,pending,False,PARSE_ERROR: Empty response from LLM,A,,,,,NO,NO,low_confidence_persona,low_confidence_persona
66,Rahul Dey,Co-founder & CEO,Haptik,C-Suite,SaaS/B2B,5,mock,,,,,,,,LOW,,pending,False,PARSE_ERROR: Empty response from LLM,A,,,,,NO,NO,low_confidence_persona,low_confidence_persona
38,Rahul Suri,Director of Product,Rocketlane,C-Suite,SaaS/B2B,5,mock,,,,,,,,LOW,,pending,False,PARSE_ERROR: Empty response from LLM,A,,,,,NO,NO,low_confidence_persona,low_confidence_persona
